booth_id,x,y,created_at,updated_at
A1101,0.075826,0.856579,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A1103,0.075826,0.83046,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A1104,0.075826,0.81742,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A1106,0.075826,0.791346,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A1108,0.075826,0.765273,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A1111,0.075826,0.732085,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A1113,0.075826,0.706012,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A1115,0.075826,0.679931,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A1116,0.075826,0.666891,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A1117,0.075826,0.653858,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A1119,0.075826,0.627777,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2000,0.109775,0.902585,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
A2002,0.106029,0.877585,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2004,0.134581,0.877577,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2101,0.11163,0.836217,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2103,0.104489,0.823192,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2104,0.15448,0.836217,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2201,0.11163,0.797403,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2204,0.14731,0.797403,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2205,0.1616,0.797403,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2206,0.1616,0.784324,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2207,0.14731,0.784324,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2209,0.118771,0.784324,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2210,0.104489,0.784324,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2301,0.11163,0.758258,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2305,0.154447,0.758258,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2307,0.154447,0.745218,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2310,0.11163,0.745218,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2401,0.11163,0.706096,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2404,0.154447,0.706096,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2406,0.1616,0.69304,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2407,0.14731,0.69304,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2411,0.104489,0.679992,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A2412,0.118771,0.679992,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A2414,0.14731,0.679992,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2501,0.104489,0.653881,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2502,0.118771,0.653881,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2503,0.133053,0.653881,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2504,0.14731,0.653881,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2505,0.147293,0.64084,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2506,0.133036,0.64084,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2507,0.118754,0.64084,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2508,0.104472,0.64084,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A2601,0.090123,0.614713,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2602,0.104354,0.614713,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A2603,0.11859,0.614713,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A2604,0.132818,0.614713,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A2605,0.147142,0.614713,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A2608,0.197159,0.614713,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
A3101,0.197301,0.836202,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
A3103,0.19731,0.823154,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
A3201,0.197293,0.797403,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3203,0.204438,0.784324,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3204,0.190156,0.784324,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3301,0.197293,0.758258,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3401,0.197293,0.706096,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3403,0.204438,0.69304,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3404,0.190156,0.69304,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3405,0.190156,0.679992,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3501,0.175748,0.653881,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A3502,0.190038,0.653881,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3503,0.204321,0.653881,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3504,0.204321,0.64084,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3505,0.190038,0.64084,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A3506,0.17574,0.64084,2025-10-25 01:15:45.398666+00,2025-10-25 01:15:45.398666+00
A4001,0.290811,0.890618,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
A4101,0.261516,0.836217,2025-10-25 01:15:45.349097+00,2025-10-25 01:15:45.349097+00
A4201,0.240097,0.797403,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4203,0.268619,0.797403,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4204,0.29003,0.79738,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
A4207,0.28291,0.784324,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4208,0.261483,0.784324,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4210,0.240097,0.784324,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4302,0.247238,0.758274,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
A4304,0.28291,0.758258,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4307,0.28291,0.745218,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4310,0.240097,0.745218,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4401,0.240139,0.706096,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4404,0.28296,0.706096,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4501,0.23286,0.653881,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
A4502,0.247163,0.653888,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
