id,company_name_kor,company_name_eng,homepage,company_description,products,products_description,category
1,서울특별시여성가족재단,SEOUL FOUNDATION OF WOMEN & FAMILY,https://www.seoulwomen.or.kr/sfwf/main/index.do,양성평등 행복도시 서울 실현 여성·가족을 위한 일·돌봄·안전 지원 플랫폼,서울시 중소기업 워라밸 포인트제,서울시 소재 중소기업 지원사업 홍보,
2,주식회사 상상스퀘어,SANGSANG SQUARE,https://www.deljoie.com/,"고품질 고단백 델쥬아 닭가슴살면

건강을 위해 식단을 바꿔보면 금방 깨닫게 됩니다.
맛이 없거나, 번거롭거나, 가족과 함께하기 어려워요. 계획은 거창하지만 오래가지 못하죠.
‘몸에 꼭 필요한 단백질, 억지로 먹어야만 할까?’, ‘진짜 건강한 건 왜 이렇게 힘들까?’
건강한 식사는 참아내는 것이 아니라, 즐기고 싶은 순간이어야 합니다.
델쥬아는 고품질의 단백질을 일상의 자연스러운 한 끼로 담아, 누구나 부담 없이 즐길 수 있게 만들었습니다.
바쁜 하루 속에서도 '잘 챙겼다'는 작은 만족을 전하는 식사, 그것이 우리의 약속입니다.",델쥬아 고단백 닭가슴살면,닭가슴살과 병아리통으로 만든 고품질 고단백 숙면입니다.,"일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
3,(주)호반식품,"HOBAN FOOD Co.,Ltd.",http://hobanfood.co.kr/,"(주)호반식품은 농,축,수산물을 이용하여 추출 및 가공한 복합조미식품(시즈닝), 엑기스, 소스, 육수베이스 등을 전문적으로 생산,납품 하고 있습니다.
천연의 맛과 향 및 영양을 고루 갖춘 조미식품의 소재 및 식품의 품질향상과 풍미를 높이기 위한 기능성 소재 및 제품들을 개발하여 보다 정직한 맛과
식품의 다양성 및 고급화를 추구하기 위해 노력하고 있습니다.",멸치육수,"멸치를 직접 추출하여 가공한 제품 육수 농축액으로
국물요리에 간편하게 사용하여 깊은 맛을 낼 수 있음","수입 일반 가공식품 (수입 캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
4,대관령눈마을영농조합법인,Daegwallyeong Nunmaeul,d-hwangtae.com,"영농조합법인 대관령눈마을황태는 2011년 9월에 설립하여 청정지역인 대관령에서
직접 건조한 깨끗하고 맛있는 황태를 생산 판매하는 회사입니다.
대관령눈마을(영)의 황태는 겨울밤의 강추위와 눈보라 속에서 밤에는 꽁꽁 얼리고, 
낮에는 따스한 햇볕과 평균해발 750m 대관령 청정바람 속에서 녹혀 말리기를 약 4개월 동안
반복하며 자연 숙성시켜 풍미가 뛰어난 슬로우 푸드로써 첨가물과 보존제가 전혀 없는 자연식품이자 건강식품으로 많은 사랑을 받고 있습니다. 
주 판매상품은 황태채, 황태포, 황태가루, 황태큐브 등으로 대형마트, 전국 황태전문 식당가, 급식업체, 애견식품회사 등에 판매가 되고 있습니다.
특히 황태가루는 고단백 저지방의 건강식품인 황태 살코기만 이용하여 우리만의 고유 노하우로 질감과 풍미를 그대로 살려 만든 것으로 현재 애견, 애묘시장 관련하여 판매중이고, 영양식이나 이유식 등 관련업체에서 많은 관심을 받고 있습니다.
","황태채, 황태포, 황태가루, 애견황태채","겨울 밤의 강추위와 눈보라 속에서 밤에는 얼리고 낮에는 따스한 햇볕과 청정한 바람 속에서 녹여 말리기를 약 4개월간 반복하여 만든 대관령눈마을황태는 속살은 부드럽고 맛은 고소하며, 색깔이 먹음직스럽게 누런 빛을 내게 되며 자연 상태로 말리기 때문에 육질이 부드럽고 비린내가 나지 않습니다.","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
5,주식회사 호록,Horock inc.,www.horock.co.kr,일본 맥주 코에도를 중심으로 하여 주류를 중심으로 한 한일교류에 기여하고자 하는 수입사입니다.,코에도 맥주,일본 사이타마현 카와고에시의 특산인 지비루 코에도입니다.,"수입 음료/주류 (수입 커피, 차, 주스, 탄산음료, 에너지 드링크, 각종 주류 외)"
6,전남바이오진흥원,JBF,www.jbf.kr,대한민국 남부 바이오헬스케어 허브,케어푸드 개발을 지원하는 기능성HMR실증센터,"고령친화식품, 환자식, 요양식, 특수영양식 개발부터 생산, 품질관리, 실증을 지원하는 센터","케어푸드 (고령친화식품, 환자식, 요양식, 특수영양식 외)"
7,주식회사 웰던프로덕트,welldoneproduct,www.welldoneproduct.co.kr,"수발주 시스템, 유통물류 시스템, ERP 등 맞춤형 시스템 개발 에이전시",맞춤형 시스템 및 AI 개발,"1. 수발주 시스템, 유통물류 시스템, ERP 등 맞춤형 시스템 개발
2. AI 개발
3. 웹/앱 개발
","스마트 물류/유통 (식품콜드체인, 스마트물류센터, 스마트패킹, 제품 추적관리, 에너지 효율 솔루션 외)"
8,이그니터즈,IGNITERZ,crimion.kr,"이그니터즈는 점화,발화,시작을 의미하는 Ignition에서 유래한 이름으로 소비자의 삶에 불을 지피는 혁신적이고 차별화된 제품과 서비스를 제공하는 커머스 기업입니다. 
2025년 9월 K-스프레드 브랜드 '크리미온(Crimion)'을 런칭하여, 운영중에 있습니다. 
대표제품으로는 '인절미 스프레드', '흑임자 스프레드', 밤 스프레드'가 있습니다. ",스프레드 3종,"25년 9월1일 당사 브랜드에서 런칭한 제품은 스프레드 3종입니다. 
1) 인절미 스프레드
- 초콜릿베이스와 콩고물을 통해 인절미맛을 구현하였고, 소보루분태를 첨가해 크런치한 식감이 일품
2) 흑임자 스프레드
- 초콜릿베이스에 흑임자 맛을 더해 고소하고 달달한 맛을 구현했고, 흑임자 분태가 함유되어 크런치한 식감을 더했습니다. 
3) 밤 스프레드 
- 국내산 햇밤 특유의 부드러운 단맛과 초콜릿 베이스가 더해져 달달한 맛을 구현하였습니다. ","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
9,주식회사 바운티에스앤비(BountySnB),BountySnB Inc.,www.bountysnb.com,(주)바운티에스앤비는 2010년 맥주 수입을 시작하여 트라피스트 맥주 위주의 벨기에 프리미엄 맥주를 전문적으로 취급하는 수입사 입니다.,트라피스트 로슈포르,"세계에서 가장 오랜 역사를 보유한 트라피스트 맥주.
소수의 수도승에게만 전수되는 양조비법으로 수도원 내에서 생산되는 세계 최고의 맥주.","주류 (전통주, 맥주, 포도주, 위스키, 칵테일, RTD, 저/무알콜 외)"
10,주식회사 청춘에프앤비,CCFNB Corp.,www.cc-fnb.com,"청춘에프앤비는 닭꼬치를 중심으로 한 프리미엄 푸드 브랜드 청춘닭꼬치를 운영하고 있습니다.
신선한 원육과 자체 숙성 공법으로 차별화된 맛을 만들어내고 있으며,
2022년에는 자체 공장을 설립해 원재료부터 생산·가공까지 직접 관리하며 안정적인 공급망을 구축했습니다.
현재는 국내에서 쌓은 경험을 바탕으로 태국·미국 등 해외 시장에서도 K-푸드 브랜드로 자리잡기 위한 도전을 이어가고 있습니다.
청춘에프앤비는 단순한 꼬치를 넘어, 고객에게 특별한 경험을 전하는 대한민국 대표 글로벌 꼬치 기업으로 성장하고 있습니다.",링링마라 꼬치,"신제품 마라꼬치는 중국 사천식 향신료인 마라 시즈닝을 활용해 만든 특별한 꼬치 메뉴입니다.
얼얼하면서도 깊은 향과 풍미가 조화를 이루어 기존 꼬치와는 차별화된 맛을 느낄 수 있으며,
맥주·소주 등 주류와도 잘 어울려 고객들에게 새로운 메뉴 경험을 선사합니다.","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
