부스번호,업체명,특별관,카테고리
B5110,맘스맘에프엔비,,일반식품
A5506,주식회사한결엘에스,,일반식품
S1102,안동소주일품(주),주류라운지,일반식품
B2304,(주)에스락,스마트홈키친,일반식품
B2209,(주)센스락,스마트홈키친,일반식품
A2504,주식회사 싱싱캔,,일반식품
A1103,주식회사 더휴베이스,,일반식품
B4415,(주)원제로소프트,고메,일반식품
A2002,대호수산(주),,일반식품
B2201,농업회사법인 주식회사 고담촌,,일반식품
B2206,(주)엠아이티,스마트홈키친,일반식품
B2101,농업회사법인 대곡친환경 합자회사,,일반식품
A4608,영양고추유통공사,,일반식품
S1304,와인랩스,주류라운지,일반식품
B4706,국제유통,,일반식품
A7504,(주)자비스,,일반식품
S0902,농업회사법인 주식회사 네이처오다,,일반식품
A7512,주식회사 모두모,,일반식품
B4704,세컨드셰프,,일반식품
A1106,아미트레이딩,,일반식품
A7601,토마텍주식회사,,일반식품
B4305,(주)푸른가족,,일반식품
B3601,블리스,,일반식품
B5710,칼로커트 주식회사,,일반식품
A9115,(주)바이오리듬,,일반식품
B4414,꼬루인터내셔널,고메,일반식품
B3604,페이퍼플랜,,일반식품
A4207,한국에스지에스,,일반식품
B3502,주식회사 나리스솔루션,,일반식품
B5412,서가농업회사법인,고메,일반식품
A2502,부강,,일반식품
A3301,에쓰푸드 주식회사,,일반식품
A1101,(주)로뎀푸드,,일반식품
B2102,(주) 푸드커넥트,,일반식품
S1306,농업회사법인 술빚는호랑이 주식회사,주류라운지,일반식품
B4411,더 더치 치즈앤네이처,고메,일반식품
S1203,제주곶밭 농업회사법인 주식회사,주류라운지,일반식품
B4504,(주)이야이야앤프렌즈,고메,일반식품
B2204,예스온서큐레이션,,일반식품
A7505,우신상사 주식회사,,일반식품
B2504,참융뜰,,일반식품
B5701,(주)에그앤씨드,,일반식품
A4401,보람바이오주식회사,,일반식품
A1113,(주)푸드로,,일반식품
B6006,(주)유앤아이제주,,일반식품
B2205,농업회사법인 주식회사 노은정미소,,일반식품
B5209,(주)영신팩,,일반식품
A1115,영덕농수산영어농조합법인,,일반식품
S1302,농업회사법인 유한회사 화양,주류라운지,일반식품
B5709,두레식품,,일반식품
A6411,(주)딥플랜트,,일반식품
B2109,참샘영농조합법인,,일반식품
B1010,주식회사 브레더스컴퍼니,,일반식품
B2411,어업회사법인 솔트바이오(주),,일반식품
A5414,(주)고려원인삼,,일반식품
A2407,(주)델리후레쉬,,일반식품
B2410,(주)동해샘물,,일반식품
A5404,현대그린푸드,,일반식품
A5415,(주)청아띠,,일반식품
A2004,농업회사법인 주식회사 하비랑,,일반식품
B4702,강동퓨어푸드,,일반식품
A1111,주비푸드,,일반식품
B5109,오월의 어느날,,일반식품
B5501,주식회사 아센,고메,일반식품
A2104,시옷크리에이티브,,일반식품
B4604,코너케이크스튜디오,,일반식품
B2403,태경F&B,,일반식품
A4208,(주)지엘그레이프,,일반식품
B3707,태강,,일반식품
B4501,실란트로 주식회사 /그뤼상소금,고메,일반식품
B2405,실란트로 주식회사 /덴탈유산균,,일반식품
B3201,필레시피,,일반식품
B2303,토스터즈,스마트홈키친,일반식품
A1104,주식회사 금강씨푸드,,일반식품
B3704,(주)바이오뉴트리젠,,일반식품
B4709,몸엔용바이오 농업회사법인(주),,일반식품
B3614,수정영농조합법인,,일반식품
A3103,(주)태진지엔에스,,일반식품
A4210,주식회사 녹명,,일반식품
A2201,정로주식회사,,일반식품
B5401,옥된장,,일반식품
B5707,맛사랑,,일반식품
B2310,주식회사 에브리데이즈코리아,,일반식품
B5405,르꼬르동블루코리아 주식회사,,일반식품
B4708,소백인삼영농조합법인,,일반식품
B2308,삼주티앤비(주),,일반식품
B5505,주식회사 스탁키퍼,고메,일반식품
B3611,무지개영농조합법인,,일반식품
S1305,아침마루와이너리,주류라운지,일반식품
S1001,농업회사법인 주식회사 백경증류소,주류라운지,일반식품
A3101,농업회사법인(주)영풍,,일반식품
B6010,(주)이노파마스크린,,일반식품
B5304,(주)아이엔비솔루션즈,,일반식품
B1005,(주)삼일,,일반식품
B3607,농업회사법인 주식회사 천우당,,일반식품
A4607,주식회사 유토피아간장게장,,일반식품
B2501,화이트스페이스,,일반식품
S1104,와인브라더스 인터내셔널,주류라운지,일반식품
B3709,아이리스 코리아,,일반식품
S1103,"농업회사법인 부즈앤버즈 미더리(주)
",주류라운지,일반식품
A2608,주식회사 농수축산신문,,일반식품
A1117,주식회사 그래미,,일반식품
B5306,농업회사법인 주식회사 투마루,,일반식품
B5309,(주)케이첩,,일반식품
A6507,주식회사 청유국제,,일반식품
A5401,(주)정식품,,일반식품
B2401,주식회사 아디즈,,일반식품
B5205,에이치9 인터내셔널,,일반식품
B2502,아침 주식회사,,일반식품
B1109,농업회사법인 조은제과 주식회사,,일반식품
A4304,재단법인 전주농생명소재연구원,,일반식품
B4403,케이씨인터내셔널,,일반식품
A2209,바라무역,,일반식품
B3501,황금오리파티,,일반식품
B5204,제주메밀영농조합법인,,일반식품
B4307,제주크래프트콜라,,일반식품
A6412,정담 두부집,,일반식품
A2501,농업회사법인 산두레 유한회사,,일반식품
B4204,(주)가보팜스,,일반식품
B1104,주식회사 에스와이솔루션,,일반식품
B4707,웰빙바이오,,일반식품
A2607,동화푸드,,일반식품
B4601,강봉석조청(주)농업회사법인,,일반식품
A2411,주식회사 만두보국,,일반식품
B5410,디저트 밀크앤브라운,,일반식품
B3615,주식회사 모어디,,일반식품
A2404,주식회사 푸른원,,일반식품
A2412,주식회사 호영식품,,일반식품
B5303,프랜차이즈산업연구원,,일반식품
B5404,"햇살바다(주)
",,일반식품
S1204,농업회사법인 주식회사 한국애플리즈,주류라운지,일반식품
S1006,주식회사 농업회사법인 팔팔양조장,주류라운지,일반식품
A2307,성경순만두,,일반식품
B3202,주식회사 소울네이처푸드,,일반식품
B4401,더에이치알케이(주),,일반식품
S1201,(주)국순당,주류라운지,일반식품
A4204,애플망고 관세사무소,,일반식품
B4407,(주)옆집,,일반식품
B3101,주식회사 시나몬랩,,일반식품
B4302,주식회사 과자의성,,일반식품
B4201,로로에프앤비 주식회사,,일반식품
B3610,(주)움집감자,,일반식품
B5201,(주)데일리비어,,일반식품
A4307,백두에프앤에스,,일반식품
B4406,봉봉과수원,,일반식품
A2406,마루사야코리아 주식회사,,일반식품
S1101,중원당,주류라운지,일반식품
A5412,채널스케치,,일반식품
B5402,제라진컴퍼니,,일반식품
B4605,(주)비앤씨팩토리,,일반식품
B5411,르하누,고메,일반식품
A2401,이하이코리아푸드 주식회사,,일반식품
A4203,(주)이노패키지,,일반식품
A6408,한교식품산업사,,일반식품
A4201,(주)바이오푸드랩,,일반식품
B5302,뉴트리케어,,일반식품
A6407,(주)범아식품,,일반식품
B5504,가야인터내셔널,고메,일반식품
B6008,주식회사 비케이바이오,,일반식품
A4410,주식회사 신진식품,,일반식품
B2106,안국약품,,일반식품
B2404,(주)비브리브,,일반식품
A2103,주식회사 장인의집,,일반식품
B4405,틴지오브소울 유한회사,,일반식품
B2306,트레이드메이커,,일반식품
A2101,농업회사법인 (주)웰빙가든,,일반식품
B3602,메타프레쉬 주식회사,,일반식품
B5702,주식회사 디파이브글로벌,,일반식품
A2301,(주)엄지식품,,일반식품
A2310,주식회사 텐펑코리아,,일반식품
B4306,콩그래츠,,일반식품
A5510,찬스푸드클럽,,일반식품
B2408,주식회사 진맛김,,일반식품
A7605,(주)진로발효,,일반식품
B4404,농업회사법인 주식회사 한반도,,일반식품
A5504,조은푸드텍,,일반식품
B5102,헤이그린스,,일반식품
B2409,주식회사 하이푸드,,일반식품
